implementation,operation,scenario,gas_used,minimum,maximum,observations,identical
native_b20,transfer,recipient_zero,33877,33877,33877,5,true
mock_b20,transfer,recipient_zero,37312,37312,37312,5,true
openzeppelin,transfer,recipient_zero,30570,30570,30570,5,true
native_b20,transfer,recipient_nonzero,16777,16777,16777,5,true
mock_b20,transfer,recipient_nonzero,20212,20212,20212,5,true
openzeppelin,transfer,recipient_nonzero,13470,13470,13470,5,true
native_b20,approve,zero_to_nonzero,24577,24577,24577,5,true
mock_b20,approve,zero_to_nonzero,25307,25307,25307,5,true
openzeppelin,approve,zero_to_nonzero,25345,25345,25345,5,true
native_b20,approve,nonzero_to_nonzero,7477,7477,7477,5,true
mock_b20,approve,nonzero_to_nonzero,8207,8207,8207,5,true
openzeppelin,approve,nonzero_to_nonzero,8245,8245,8245,5,true
native_b20,transferFrom,finite_allowance,38939,38939,38939,5,true
mock_b20,transferFrom,finite_allowance,44296,44296,44296,5,true
openzeppelin,transferFrom,finite_allowance,36223,36223,36223,5,true
native_b20,transferFrom,max_allowance,36039,36039,36039,5,true
mock_b20,transferFrom,max_allowance,41150,41150,41150,5,true
openzeppelin,transferFrom,max_allowance,32986,32986,32986,5,true
native_b20,mint,recipient_zero,37925,37925,37925,5,true
mock_b20,mint,recipient_zero,40342,40342,40342,5,true
openzeppelin,mint,recipient_zero,32520,32520,32520,5,true
native_b20,mint,recipient_nonzero,20825,20825,20825,5,true
mock_b20,mint,recipient_nonzero,23242,23242,23242,5,true
openzeppelin,mint,recipient_nonzero,15420,15420,15420,5,true
